FlightDate,FlightNo,Origin,Destination,Aircraft,MaxCapacity_kg,ActualLoad_kg,LoadFactor_pct,Revenue_USD
2024-01-30,EK9158,DXB,BOM,B777-200LRF,97000,74108.0,76.4,283058.03
2024-01-26,EK9261,DXB,BOM,B747-8F,134000,99964.0,74.6,410086.69
2024-01-30,EK9169,DXB,CDG,B777F,103000,93009.0,90.3,184623.57
2024-12-11,EK9352,DXB,SIN,B747-8F,134000,76916.0,57.4,323337.62
2024-10-23,EK9697,DXB,BOM,B777F,103000,82297.0,79.9,241287.17
2024-10-16,EK9833,DXB,CDG,B747-8F,134000,126094.0,94.1,296510.02
2024-06-09,EK9407,DXB,SIN,B747-8F,134000,93532.0,69.8,337983.83
2024-08-22,EK9676,DXB,HKG,B777F,103000,53972.0,52.4,187667.66
2024-02-21,EK9457,DXB,JFK,B777-200LRF,97000,59752.0,61.6,150338.49
2024-02-05,EK9656,DXB,SIN,B747-8F,134000,86832.0,64.8,259028.4
2024-12-26,EK9641,DXB,SYD,B777-200LRF,97000,93411.0,96.3,371698.23
2024-01-05,EK9999,DXB,DEL,B777-200LRF,97000,63535.0,65.5,228163.69
2024-03-09,EK9259,DXB,SYD,B777F,103000,94760.0,92.0,360516.79
2024-05-19,EK9803,DXB,SYD,B777-200LRF,97000,59655.0,61.5,162606.21
2024-11-20,EK9966,DXB,SYD,B777-200LRF,97000,71780.0,74.0,304663.64
2024-01-27,EK9103,DXB,JFK,B777-200LRF,97000,68967.0,71.1,175661.47
2024-06-19,EK9552,DXB,ORD,B777-200LRF,97000,93217.0,96.1,208458.51
2024-10-09,EK9807,DXB,CGO,B747-8F,134000,103448.0,77.2,217453.85
2024-03-17,EK9251,DXB,CDG,B777F,103000,92288.0,89.6,311266.74
2024-08-08,EK9915,DXB,ORD,B777F,103000,67877.0,65.9,286933.05
2024-01-21,EK9462,DXB,HKG,B777F,103000,85181.0,82.7,306712.95
2024-10-13,EK9342,DXB,NRT,B777-200LRF,97000,83129.0,85.7,357418.32
2024-03-24,EK9440,DXB,ORD,B747-8F,134000,71154.0,53.1,269582.87
2024-07-29,EK9906,DXB,DEL,B777-200LRF,97000,85845.0,88.5,216361.63
2024-12-25,EK9327,DXB,JFK,B747-8F,134000,122208.0,91.2,503277.2
2024-04-12,EK9333,DXB,FRA,B747-8F,134000,88038.0,65.7,347524.09
2024-04-24,EK9985,DXB,LHR,B777-200LRF,97000,58879.0,60.7,158167.09
2024-02-05,EK9963,DXB,SYD,B747-8F,134000,108406.0,80.9,312115.14
2024-10-01,EK9282,DXB,HKG,B777F,103000,58916.0,57.2,260413.53
2024-10-24,EK9846,DXB,SYD,B777F,103000,58607.0,56.9,174257.49
2024-06-09,EK9690,DXB,NRT,B777-200LRF,97000,93411.0,96.3,197306.79
2024-04-07,EK9925,DXB,SYD,B777F,103000,86417.0,83.9,155945.22
2024-10-02,EK9301,DXB,DEL,B777-200LRF,97000,91471.0,94.3,346675.25
2024-07-05,EK9738,DXB,NRT,B777F,103000,97541.0,94.7,418068.66
2024-06-09,EK9416,DXB,DEL,B777F,103000,86932.0,84.4,226968.16
2024-12-07,EK9230,DXB,NRT,B747-8F,134000,93934.0,70.1,244065.8
2024-04-08,EK9278,DXB,NRT,B777-200LRF,97000,91471.0,94.3,331926.16
2024-11-11,EK9411,DXB,BOM,B747-8F,134000,94202.0,70.3,381617.76
2024-05-26,EK9429,DXB,SIN,B747-8F,134000,117116.0,87.4,402643.2
2024-08-26,EK9912,DXB,FRA,B747-8F,134000,110416.0,82.4,351141.63
2024-03-27,EK9734,DXB,DEL,B777F,103000,66744.0,64.8,239771.5
2024-06-20,EK9303,DXB,JFK,B777F,103000,84769.0,82.3,203999.12
2024-03-16,EK9970,DXB,LHR,B777F,103000,64890.0,63.0,200047.31
2024-02-07,EK9835,DXB,FRA,B747-8F,134000,123146.0,91.9,413070.04
2024-12-22,EK9804,DXB,NRT,B747-8F,134000,93800.0,70.0,206213.92
2024-01-03,EK9812,DXB,JFK,B747-8F,134000,82812.0,61.8,328854.45
2024-09-22,EK9224,DXB,FRA,B777F,103000,79413.0,77.1,339662.82
2024-08-21,EK9709,DXB,ORD,B747-8F,134000,109880.0,82.0,490867.98
2024-06-11,EK9536,DXB,FRA,B777-200LRF,97000,86039.0,88.7,362091.24
2024-10-07,EK9365,DXB,FRA,B777F,103000,88065.0,85.5,271382.95
2024-05-06,EK9741,DXB,DEL,B747-8F,134000,115910.0,86.5,371782.43
2024-05-02,EK9378,DXB,SYD,B747-8F,134000,74370.0,55.5,191239.93
2024-06-20,EK9492,DXB,HKG,B777-200LRF,97000,53932.0,55.6,119041.02
2024-12-21,EK9438,DXB,ORD,B777-200LRF,97000,59752.0,61.6,174484.4
2024-10-04,EK9498,DXB,FRA,B747-8F,134000,73432.0,54.8,297311.93
2024-10-26,EK9489,DXB,CGO,B777F,103000,93318.0,90.6,360870.54
2024-09-01,EK9955,DXB,LHR,B747-8F,134000,87636.0,65.4,250022.35
2024-08-02,EK9325,DXB,CDG,B777-200LRF,97000,82547.0,85.1,326856.74
2024-09-06,EK9444,DXB,SIN,B747-8F,134000,95944.0,71.6,180218.04
2024-12-08,EK9230,DXB,DEL,B747-8F,134000,113364.0,84.6,461319.53
2024-11-14,EK9778,DXB,CDG,B777F,103000,95584.0,92.8,324804.99
2024-01-14,EK9286,DXB,JFK,B777-200LRF,97000,69161.0,71.3,286361.03
2024-01-26,EK9445,DXB,SYD,B747-8F,134000,89378.0,66.7,270608.71
2024-07-13,EK9119,DXB,SYD,B747-8F,134000,84956.0,63.4,171708.55
2024-10-03,EK9767,DXB,LHR,B747-8F,134000,83214.0,62.1,165202.22
2024-01-21,EK9256,DXB,LHR,B777F,103000,62830.0,61.0,116551.29
2024-05-02,EK9323,DXB,ORD,B747-8F,134000,110014.0,82.1,365545.48
2024-08-26,EK9721,DXB,CGO,B747-8F,134000,115910.0,86.5,261148.79
2024-02-28,EK9419,DXB,ORD,B747-8F,134000,76246.0,56.9,142529.07
2024-10-21,EK9177,DXB,DEL,B747-8F,134000,93532.0,69.8,348924.84
2024-10-30,EK9408,DXB,CGO,B777-200LRF,97000,61013.0,62.9,224675.56
2024-12-16,EK9142,DXB,BOM,B777F,103000,90434.0,87.8,300965.97
2024-06-26,EK9763,DXB,CDG,B747-8F,134000,109612.0,81.8,217709.51
2024-06-23,EK9470,DXB,LHR,B747-8F,134000,119260.0,89.0,248651.73
2024-11-21,EK9634,DXB,FRA,B777-200LRF,97000,57133.0,58.9,130010.13
2024-11-29,EK9595,DXB,SYD,B777-200LRF,97000,85748.0,88.4,278943.98
2024-08-26,EK9351,DXB,NRT,B777-200LRF,97000,76339.0,78.7,203842.11
2024-02-14,EK9724,DXB,SYD,B747-8F,134000,84420.0,63.0,257878.86
2024-12-08,EK9286,DXB,NRT,B747-8F,134000,71422.0,53.3,292656.83
2024-09-06,EK9710,DXB,SIN,B747-8F,134000,117786.0,87.9,320250.11
2024-12-25,EK9187,DXB,SYD,B777-200LRF,97000,50925.0,52.5,222021.23
2024-05-03,EK9807,DXB,CGO,B747-8F,134000,99160.0,74.0,381472.94
2024-08-31,EK9195,DXB,DEL,B777-200LRF,97000,71877.0,74.1,283261.42
2024-05-30,EK9695,DXB,SIN,B747-8F,134000,111354.0,83.1,292499.82
2024-07-07,EK9863,DXB,FRA,B777-200LRF,97000,73623.0,75.9,217103.94
2024-10-08,EK9357,DXB,HKG,B747-8F,134000,112024.0,83.6,283585.88
2024-04-28,EK9648,DXB,JFK,B777-200LRF,97000,58879.0,60.7,124988.21
2024-12-19,EK9841,DXB,ORD,B777F,103000,63551.0,61.7,197474.32
2024-10-28,EK9298,DXB,CDG,B777-200LRF,97000,62759.0,64.7,130000.28
2024-05-31,EK9646,DXB,SIN,B747-8F,134000,80534.0,60.1,148037.65
2024-03-05,EK9814,DXB,SYD,B777F,103000,98674.0,95.8,325038.99
2024-03-05,EK9391,DXB,DEL,B747-8F,134000,75844.0,56.6,139030.89
2024-08-28,EK9358,DXB,FRA,B747-8F,134000,90182.0,67.3,397417.97
2024-09-01,EK9744,DXB,JFK,B777F,103000,72100.0,70.0,144201.58
2024-12-17,EK9411,DXB,LHR,B777F,103000,60461.0,58.7,200710.38
2024-02-13,EK9710,DXB,SIN,B777F,103000,79413.0,77.1,232177.39
2024-11-12,EK9404,DXB,SIN,B777-200LRF,97000,67027.0,69.1,285063.27
2024-10-28,EK9857,DXB,NRT,B747-8F,134000,103984.0,77.6,204081.27
2024-02-20,EK9260,DXB,SIN,B777-200LRF,97000,59655.0,61.5,213753.17
2024-05-02,EK9561,DXB,ORD,B777-200LRF,97000,53738.0,55.4,97116.63
2024-12-18,EK9823,DXB,BOM,B747-8F,134000,87234.0,65.1,211541.21
2024-05-24,EK9370,DXB,CGO,B747-8F,134000,73968.0,55.2,179760.31
2024-11-16,EK9217,DXB,BOM,B777-200LRF,97000,85554.0,88.2,199692.61
2024-10-05,EK9245,DXB,SIN,B777-200LRF,97000,56939.0,58.7,143327.29
2024-02-06,EK9944,DXB,LHR,B777F,103000,90331.0,87.7,307723.29
2024-10-18,EK9816,DXB,SYD,B747-8F,134000,77184.0,57.6,282449.49
2024-07-25,EK9712,DXB,SYD,B777-200LRF,97000,74011.0,76.3,220697.02
2024-01-21,EK9193,DXB,NRT,B777-200LRF,97000,64505.0,66.5,159713.95
2024-04-27,EK9883,DXB,DEL,B777-200LRF,97000,76048.0,78.4,141146.06
2024-12-10,EK9581,DXB,SYD,B777-200LRF,97000,52186.0,53.8,200494.74
2024-09-22,EK9699,DXB,DEL,B747-8F,134000,124888.0,93.2,285996.1
2024-08-11,EK9518,DXB,DEL,B747-8F,134000,128104.0,95.6,393154.77
2024-06-19,EK9521,DXB,HKG,B777-200LRF,97000,54999.0,56.7,122880.26
2024-12-21,EK9878,DXB,FRA,B747-8F,134000,109612.0,81.8,315816.41
2024-10-08,EK9218,DXB,LHR,B747-8F,134000,75040.0,56.0,186210.03
2024-07-25,EK9523,DXB,CDG,B777F,103000,84048.0,81.6,274416.95
2024-01-28,EK9740,DXB,SIN,B777-200LRF,97000,66251.0,68.3,254562.61
2024-08-14,EK9394,DXB,LHR,B777F,103000,65920.0,64.0,141974.26
2024-08-12,EK9723,DXB,CGO,B747-8F,134000,77050.0,57.5,341138.6
2024-05-02,EK9517,DXB,CGO,B777F,103000,67980.0,66.0,124873.89
2024-02-17,EK9952,DXB,SIN,B777F,103000,74984.0,72.8,158753.02
2024-03-19,EK9525,DXB,FRA,B777-200LRF,97000,63147.0,65.1,233935.1
2024-09-04,EK9295,DXB,FRA,B777F,103000,74778.0,72.6,163803.7
2024-11-02,EK9382,DXB,CDG,B777-200LRF,97000,88852.0,91.6,367214.01
2024-07-31,EK9843,DXB,HKG,B777-200LRF,97000,62080.0,64.0,112173.98
2024-06-01,EK9252,DXB,BOM,B777-200LRF,97000,94090.0,97.0,293751.7
2024-08-16,EK9656,DXB,CDG,B747-8F,134000,90450.0,67.5,297596.51
2024-07-12,EK9344,DXB,FRA,B747-8F,134000,122074.0,91.1,542996.32
2024-10-19,EK9425,DXB,NRT,B777F,103000,93215.0,90.5,271171.08
2024-08-30,EK9940,DXB,CGO,B747-8F,134000,92996.0,69.4,334037.9
2024-11-29,EK9704,DXB,ORD,B747-8F,134000,127836.0,95.4,273679.61
2024-06-18,EK9115,DXB,JFK,B747-8F,134000,75710.0,56.5,322387.76
2024-03-14,EK9900,DXB,NRT,B777-200LRF,97000,92732.0,95.6,185652.83
2024-05-15,EK9972,DXB,HKG,B777-200LRF,97000,80704.0,83.2,286867.13
2024-06-17,EK9835,DXB,DEL,B777-200LRF,97000,67027.0,69.1,177955.69
2024-09-06,EK9800,DXB,CDG,B777F,103000,82194.0,79.8,200050.3
2024-05-27,EK9878,DXB,SIN,B777-200LRF,97000,54417.0,56.1,241693.75
2024-11-20,EK9129,DXB,CGO,B777F,103000,74160.0,72.0,272449.24
2024-01-24,EK9249,DXB,HKG,B777F,103000,67156.0,65.2,188847.44
2024-05-05,EK9274,DXB,CDG,B747-8F,134000,103850.0,77.5,409148.5
2024-03-30,EK9346,DXB,JFK,B777-200LRF,97000,88464.0,91.2,307254.76
2024-09-11,EK9570,DXB,BOM,B777F,103000,64272.0,62.4,226388.0
2024-05-10,EK9394,DXB,DEL,B777F,103000,95275.0,92.5,291177.91
2024-12-12,EK9701,DXB,CDG,B777F,103000,56959.0,55.3,247893.33
2024-06-02,EK9409,DXB,DEL,B747-8F,134000,111354.0,83.1,337787.54
2024-04-11,EK9467,DXB,NRT,B747-8F,134000,76112.0,56.8,215372.88
2024-10-21,EK9774,DXB,SYD,B777-200LRF,97000,63341.0,65.3,281262.55
2024-07-21,EK9862,DXB,SYD,B777F,103000,79825.0,77.5,291493.65
2024-01-26,EK9393,DXB,BOM,B777-200LRF,97000,72168.0,74.4,306080.31
2024-04-27,EK9356,DXB,BOM,B747-8F,134000,82946.0,61.9,191883.66
2024-12-13,EK9199,DXB,CGO,B777-200LRF,97000,80122.0,82.6,173808.97
2024-11-17,EK9693,DXB,DEL,B777F,103000,67877.0,65.9,202967.34
2024-07-05,EK9865,DXB,CGO,B777F,103000,57783.0,56.1,150050.79
2024-07-31,EK9474,DXB,ORD,B777F,103000,59637.0,57.9,194201.98
2024-09-28,EK9944,DXB,CDG,B747-8F,134000,119796.0,89.4,298749.57
2024-09-03,EK9579,DXB,SYD,B777-200LRF,97000,88464.0,91.2,351328.39
2024-02-08,EK9506,DXB,ORD,B777F,103000,93421.0,90.7,350831.83
2024-10-12,EK9649,DXB,HKG,B777F,103000,90228.0,87.6,165801.2
2024-03-04,EK9698,DXB,FRA,B747-8F,134000,110282.0,82.3,398704.74
2024-07-14,EK9125,DXB,DEL,B747-8F,134000,76246.0,56.9,185378.36
2024-11-13,EK9164,DXB,CDG,B747-8F,134000,124888.0,93.2,299442.89
2024-11-21,EK9243,DXB,FRA,B777-200LRF,97000,63632.0,65.6,184685.44
2024-01-24,EK9340,DXB,LHR,B747-8F,134000,129712.0,96.8,274149.59
2024-10-02,EK9860,DXB,ORD,B747-8F,134000,97016.0,72.4,350258.11
2024-12-22,EK9524,DXB,CDG,B747-8F,134000,105056.0,78.4,395201.52
2024-12-01,EK9386,DXB,JFK,B747-8F,134000,106798.0,79.7,463016.67
2024-01-17,EK9341,DXB,CGO,B747-8F,134000,82812.0,61.8,248492.21
2024-07-04,EK9760,DXB,JFK,B777-200LRF,97000,66445.0,68.5,281366.65
2024-07-02,EK9968,DXB,LHR,B747-8F,134000,86296.0,64.4,380924.23
2024-08-20,EK9121,DXB,JFK,B777-200LRF,97000,59655.0,61.5,210381.17
2024-01-26,EK9310,DXB,HKG,B777F,103000,99395.0,96.5,390109.56
2024-02-05,EK9338,DXB,CDG,B777F,103000,80752.0,78.4,322623.87
2024-06-17,EK9248,DXB,ORD,B777-200LRF,97000,50537.0,52.1,208096.03
2024-03-07,EK9987,DXB,CDG,B747-8F,134000,117786.0,87.9,246973.82
2024-01-14,EK9702,DXB,ORD,B777F,103000,70143.0,68.1,275575.37
2024-06-14,EK9531,DXB,LHR,B777F,103000,65817.0,63.9,140996.34
2024-09-26,EK9470,DXB,JFK,B777-200LRF,97000,53253.0,54.9,160309.8
2024-09-19,EK9729,DXB,BOM,B777F,103000,74469.0,72.3,178590.39
2024-01-23,EK9131,DXB,CGO,B777-200LRF,97000,73235.0,75.5,222393.81
2024-02-01,EK9829,DXB,FRA,B747-8F,134000,95408.0,71.2,199545.54
2024-08-15,EK9229,DXB,JFK,B777F,103000,68495.0,66.5,150723.34
2024-05-20,EK9490,DXB,BOM,B777-200LRF,97000,75951.0,78.3,282751.34
2024-11-01,EK9201,DXB,CDG,B747-8F,134000,97016.0,72.4,333216.23
2024-12-25,EK9838,DXB,JFK,B777-200LRF,97000,78861.0,81.3,305680.96
2024-04-20,EK9947,DXB,NRT,B747-8F,134000,123280.0,92.0,359644.33
2024-08-20,EK9420,DXB,NRT,B747-8F,134000,113632.0,84.8,300429.43
2024-12-06,EK9585,DXB,SYD,B747-8F,134000,127166.0,94.9,464717.57
2024-02-04,EK9856,DXB,JFK,B777F,103000,57886.0,56.2,119287.07
2024-07-09,EK9675,DXB,ORD,B777-200LRF,97000,53059.0,54.7,232551.57
2024-06-17,EK9868,DXB,DEL,B777F,103000,72615.0,70.5,301986.9
2024-08-04,EK9460,DXB,CGO,B777F,103000,98468.0,95.6,336869.59
2024-02-23,EK9329,DXB,BOM,B777-200LRF,97000,59752.0,61.6,213505.13
2024-02-25,EK9687,DXB,HKG,B777-200LRF,97000,66445.0,68.5,256413.59
2024-04-25,EK9728,DXB,NRT,B777-200LRF,97000,93023.0,95.9,372999.21
2024-12-11,EK9949,DXB,DEL,B777-200LRF,97000,51604.0,53.2,222337.26
2024-12-21,EK9416,DXB,SYD,B777F,103000,61903.0,60.1,228873.14
2024-06-22,EK9773,DXB,HKG,B777F,103000,62006.0,60.2,135593.42
2024-07-24,EK9193,DXB,JFK,B777F,103000,87859.0,85.3,388678.36
2024-09-28,EK9478,DXB,SIN,B747-8F,134000,95006.0,70.9,258456.14
2024-06-08,EK9186,DXB,CGO,B747-8F,134000,116580.0,87.0,388503.15
2024-01-27,EK9183,DXB,ORD,B777F,103000,88477.0,85.9,171146.26
2024-05-19,EK9524,DXB,FRA,B777-200LRF,97000,68967.0,71.1,237184.77
2024-05-19,EK9390,DXB,SIN,B777-200LRF,97000,55387.0,57.1,163987.99
2024-12-13,EK9146,DXB,DEL,B777-200LRF,97000,71683.0,73.9,258148.97
2024-04-22,EK9316,DXB,NRT,B777-200LRF,97000,52865.0,54.5,124335.44
2024-03-11,EK9864,DXB,SYD,B747-8F,134000,89512.0,66.8,162989.78
2024-08-08,EK9612,DXB,ORD,B777F,103000,71173.0,69.1,263333.87
2024-10-13,EK9143,DXB,DEL,B747-8F,134000,73968.0,55.2,305248.46
2024-08-11,EK9689,DXB,LHR,B747-8F,134000,125290.0,93.5,517159.16
2024-08-07,EK9217,DXB,BOM,B747-8F,134000,112426.0,83.9,329157.89
2024-07-26,EK9571,DXB,LHR,B747-8F,134000,79998.0,59.7,348675.97
2024-12-19,EK9546,DXB,HKG,B777F,103000,73851.0,71.7,154040.67
2024-10-28,EK9863,DXB,NRT,B777-200LRF,97000,53835.0,55.5,223437.64
2024-06-22,EK9748,DXB,SIN,B747-8F,134000,116714.0,87.1,234154.47
2024-02-28,EK9459,DXB,CDG,B777-200LRF,97000,58879.0,60.7,229381.76
2024-11-26,EK9277,DXB,ORD,B777F,103000,58298.0,56.6,145226.98
2024-11-04,EK9743,DXB,ORD,B777-200LRF,97000,53738.0,55.4,234753.85
2024-09-09,EK9678,DXB,FRA,B777-200LRF,97000,83614.0,86.2,251849.06
2024-11-25,EK9423,DXB,DEL,B777-200LRF,97000,64505.0,66.5,285217.07
2024-03-18,EK9915,DXB,FRA,B777F,103000,75293.0,73.1,263882.38
2024-05-20,EK9572,DXB,BOM,B777F,103000,69834.0,67.8,139689.98
2024-08-19,EK9760,DXB,LHR,B777F,103000,70658.0,68.6,181951.98
2024-02-16,EK9667,DXB,BOM,B777-200LRF,97000,72556.0,74.8,221246.57
2024-01-22,EK9587,DXB,FRA,B777-200LRF,97000,78861.0,81.3,210410.79
2024-09-13,EK9957,DXB,ORD,B777F,103000,74469.0,72.3,297102.3
2024-06-24,EK9353,DXB,CGO,B777F,103000,76941.0,74.7,174341.31
2024-12-28,EK9472,DXB,FRA,B747-8F,134000,101304.0,75.6,349141.66
2024-07-09,EK9712,DXB,SYD,B747-8F,134000,94336.0,70.4,255989.35
2024-01-27,EK9671,DXB,DEL,B777-200LRF,97000,65087.0,67.1,175094.77
2024-12-13,EK9717,DXB,NRT,B747-8F,134000,84822.0,63.3,347704.79
2024-03-17,EK9458,DXB,HKG,B777F,103000,80546.0,78.2,175739.82
2024-06-07,EK9825,DXB,DEL,B777-200LRF,97000,79346.0,81.8,170448.66
2024-02-13,EK9932,DXB,SYD,B777-200LRF,97000,66930.0,69.0,263536.02
2024-03-06,EK9801,DXB,DEL,B777-200LRF,97000,86621.0,89.3,328699.98
2024-09-26,EK9118,DXB,JFK,B777-200LRF,97000,79734.0,82.2,252989.52
2024-07-04,EK9884,DXB,SYD,B777F,103000,97644.0,94.8,265853.11
2024-09-05,EK9402,DXB,SIN,B777F,103000,99910.0,97.0,221635.55
2024-02-21,EK9138,DXB,CDG,B777-200LRF,97000,86912.0,89.6,363808.58
2024-12-04,EK9266,DXB,HKG,B777-200LRF,97000,56163.0,57.9,158219.24
2024-04-02,EK9548,DXB,CGO,B777-200LRF,97000,85748.0,88.4,192671.96
2024-01-23,EK9554,DXB,NRT,B747-8F,134000,110416.0,82.4,269562.06
2024-11-08,EK9344,DXB,SYD,B777-200LRF,97000,84681.0,87.3,205927.93
2024-06-07,EK9551,DXB,FRA,B777F,103000,70658.0,68.6,307874.67
2024-08-24,EK9265,DXB,SYD,B747-8F,134000,99964.0,74.6,292932.93
2024-04-12,EK9592,DXB,BOM,B777F,103000,94039.0,91.3,182518.93
2024-07-09,EK9227,DXB,CDG,B777F,103000,86520.0,84.0,276254.5
2024-05-25,EK9250,DXB,JFK,B777F,103000,66229.0,64.3,281097.52
2024-08-11,EK9127,DXB,JFK,B777F,103000,91464.0,88.8,383097.0
2024-07-31,EK9183,DXB,LHR,B747-8F,134000,99964.0,74.6,243572.36
2024-07-10,EK9831,DXB,SIN,B777F,103000,68289.0,66.3,141189.18
2024-11-28,EK9949,DXB,HKG,B777F,103000,59946.0,58.2,154335.44
2024-08-29,EK9730,DXB,CGO,B777F,103000,88683.0,86.1,271955.05
2024-01-03,EK9661,DXB,JFK,B777F,103000,65405.0,63.5,265178.06
2024-11-07,EK9408,DXB,CDG,B747-8F,134000,76380.0,57.0,196898.04
2024-03-03,EK9568,DXB,LHR,B777F,103000,73027.0,70.9,287983.99
2024-02-02,EK9627,DXB,JFK,B747-8F,134000,105726.0,78.9,194998.44
2024-10-21,EK9729,DXB,SIN,B777-200LRF,97000,56745.0,58.5,167905.33
2024-06-29,EK9187,DXB,SIN,B777-200LRF,97000,68579.0,70.7,246459.38
2024-09-25,EK9905,DXB,HKG,B777F,103000,97747.0,94.9,319537.02
2024-09-16,EK9750,DXB,CDG,B777F,103000,71688.0,69.6,220036.62
2024-07-17,EK9169,DXB,HKG,B747-8F,134000,114704.0,85.6,317059.46
2024-06-25,EK9695,DXB,SIN,B777-200LRF,97000,79152.0,81.6,164627.65
2024-06-19,EK9758,DXB,ORD,B777F,103000,69937.0,67.9,189814.44
2024-03-30,EK9286,DXB,DEL,B747-8F,134000,128774.0,96.1,398173.61
2024-03-10,EK9400,DXB,JFK,B777-200LRF,97000,84293.0,86.9,255891.2
2024-04-13,EK9417,DXB,LHR,B777F,103000,94657.0,91.9,251040.65
2024-09-20,EK9762,DXB,NRT,B777-200LRF,97000,71101.0,73.3,135011.99
2024-04-07,EK9771,DXB,SYD,B747-8F,134000,121672.0,90.8,234713.91
2024-06-18,EK9509,DXB,SYD,B777F,103000,90640.0,88.0,270086.24
2024-08-13,EK9609,DXB,NRT,B747-8F,134000,128372.0,95.8,403055.82
2024-07-07,EK9180,DXB,CDG,B747-8F,134000,118054.0,88.1,444251.32
2024-08-08,EK9181,DXB,BOM,B777F,103000,78795.0,76.5,210167.61
2024-06-16,EK9536,DXB,DEL,B747-8F,134000,88172.0,65.8,302172.36
2024-03-26,EK9990,DXB,CGO,B747-8F,134000,90852.0,67.8,173923.34
